"herd","treatment","Y"
"A","control",3.25
"A","control",4.15
"A","control",1.94
"A","control",3.44
"A","control",3.43
"A","control",3.66
"A","control",3.81
"A","control",2.75
"A","control",2.97
"A","control",2.52
"A","control",3.38
"A","control",2.65
"A","control",3.19
"A","control",2.57
"A","control",3.35
"A","control",3.63
"A","insecticide",3.55
"A","insecticide",2.47
"A","insecticide",1.97
"A","insecticide",3.36
"A","insecticide",1.99
"A","insecticide",2.73
"A","insecticide",3.08
"A","insecticide",2.54
"A","insecticide",3.28
"A","insecticide",2.83
"A","insecticide",2.34
"A","insecticide",3.61
"B","control",3.02
"B","control",4
"B","control",2.58
"B","control",3.22
"B","control",3.23
"B","control",2.96
"B","control",2.84
"B","control",2.87
"B","control",2.04
"B","control",2.9
"B","control",3.98
"B","control",4.38
"B","control",3.7
"B","control",3.69
"B","control",3.45
"B","control",4.09
"B","insecticide",2.82
"B","insecticide",3.45
"B","insecticide",2.64
"B","insecticide",3.21
"B","insecticide",2.2
"B","insecticide",2.89
"B","insecticide",2.26
"B","insecticide",3.22
"B","insecticide",2.38
"B","insecticide",3.19
"B","insecticide",2.47
"C","control",3.42
"C","control",3.51
"C","control",2.94
"C","control",3.83
"C","control",4.06
"C","control",4.48
"C","control",3.43
"C","control",3.95
"C","control",3.49
"C","control",3.03
"C","control",3.48
"C","control",4.15
"C","control",3.47
"C","control",4.06
"C","control",3.83
"C","insecticide",2.1
"C","insecticide",3.34
"C","insecticide",2.85
"C","insecticide",2.35
"C","insecticide",3.72
"C","insecticide",2.64
"C","insecticide",3.23
"C","insecticide",3.26
"C","insecticide",3.93
"C","insecticide",2.41
"C","insecticide",3.96
"C","insecticide",2.94
"C","insecticide",2.01
"C","insecticide",3.22
"D","control",2.32
"D","control",3.03
"D","control",3.39
"D","control",3.78
"D","control",3.81
"D","control",3.51
"D","control",3.97
"D","control",3.15
"D","control",4.12
"D","control",3.05
"D","control",2.66
"D","control",3.85
"D","insecticide",2.57
"D","insecticide",2.63
"D","insecticide",2.52
"D","insecticide",2.56
"D","insecticide",3.62
"D","insecticide",2.95
"D","insecticide",2.99
"D","insecticide",3.35
"D","insecticide",3.1
"D","insecticide",2.78
"D","insecticide",3.57
"D","insecticide",3.53
"D","insecticide",2.05
"D","insecticide",1.52
"E","control",3.11
"E","control",2.62
"E","control",4.68
"E","control",3.39
"E","control",3.68
"E","control",2.44
"E","control",3.72
"E","control",3.17
"E","control",3.05
"E","control",2.94
"E","control",2.75
"E","control",3.35
"E","control",4.21
"E","control",3.46
"E","control",3.98
"E","control",3.18
"E","control",2.48
"E","insecticide",3.69
"E","insecticide",2.89
"E","insecticide",3.31
"E","insecticide",3.27
"E","insecticide",2.58
"E","insecticide",2.51
"E","insecticide",1.89
"E","insecticide",4.2
"E","insecticide",2.86
"E","insecticide",3.72
"E","insecticide",2.6
"E","insecticide",3.18
"E","insecticide",1.99
"E","insecticide",2.62
"E","insecticide",2.33
"E","insecticide",2.75
"E","insecticide",2.13
"E","insecticide",1.77
