"BPC","SLAKE","RunOff"
4.1,6.47,54.235
7.55,10.26,67.567
9.52,11.35,66.161
11.14,11.13,68.094
16.34,22.81,107.08
8.88,7.41,67.594
13.57,13.32,65.356
9.28,9.8,67.909
21.2,17.42,92.715
9.55,8.25,70.024
15.25,17.48,99.216
9.05,9.56,55.786
4.57,7.65,46.153
8.9,9,47.947
16.9,17.68,76.877
16.75,15.53,88.443
5.25,8.2,54.634
8.4,13.29,78.806
10.85,12.56,56.542
23.25,23.66,116.244
7.1,8.28,60.857
43.37,33.07,146.345
8.95,11,73.726
8.45,10.82,65.53
7.9,8.06,60.772
14.8,15.86,91.696
18.05,16.42,87.377
11.5,12.56,77.306
6.8,4.73,44.756
4.05,4.6,41.785
25.3,21.94,112.653
15.97,13.88,79.975
24.4,23.78,106.821
8.99,12.14,69.177
18.55,19.45,120.463
19.25,23.86,135.043
14.45,14.42,102.001
11.45,13.06,77.79
26.47,26.46,118.144
4.8,6.36,61.229
7.2,9.88,58.942
8.05,9.58,53.965
5.8,8.41,49.774
