"yarn","bobbin","strength"
"A","B1",15
"A","B1",17
"A","B1",13.8
"A","B1",15.5
"A","B2",15.7
"A","B2",15.6
"A","B2",17.6
"A","B2",17.1
"A","B3",14.8
"A","B3",15.8
"A","B3",18.2
"A","B3",16
"A","B4",14.9
"A","B4",14.2
"A","B4",15
"A","B4",12.8
"A","B5",13
"A","B5",16.2
"A","B5",16.4
"A","B5",14.8
"A","B6",15.9
"A","B6",15.6
"A","B6",15
"A","B6",15.5
"B","B7",18.2
"B","B7",16.8
"B","B7",18.1
"B","B7",17
"B","B8",17.2
"B","B8",18.5
"B","B8",15
"B","B8",16.2
"B","B9",15.2
"B","B9",15.9
"B","B9",14.5
"B","B9",14.2
"B","B10",15.6
"B","B10",16
"B","B10",15.2
"B","B10",14.9
"B","B11",19.2
"B","B11",18
"B","B11",17
"B","B11",16.9
"B","B12",16.2
"B","B12",15.9
"B","B12",14.9
"B","B12",15.5
